age_at_enrollment,inflation_rate,gdp,marital_status_decoded,application_mode_decoded,course_decoded,daytimeevening_attendance_decoded,previous_qualification_decoded,nationality_decoded,mothers_qualification_decoded,fathers_qualification_decoded,mothers_occupation_decoded,fathers_occupation_decoded,gender_decoded,displaced_decoded,educational_special_needs_decoded,tuition_fees_up_to_date_decoded,debtor_decoded,scholarship_holder_decoded,international_decoded,total_credited,total_enrolled,total_evaluations,total_approved,weighted_avg_grade,y
19,0.6,2.02,Single,1st phase,Nursing,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction, and Craftsmen",Female,No,No,Yes,No,No,No,0,15,17,13,13.729523809523819,0
21,0.3,-0.92,Single,2nd phase,Social Service,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,"Skilled Workers in Industry, Construction, and Craftsmen",Installation and Machine Operators and Assembly Workers,Female,Yes,No,Yes,No,No,No,0,12,18,12,12.330357142857151,0
20,0.3,-0.92,Single,1st phase,Management,Daytime,Secondary education,Portuguese,Specialized course,Secondary Education,Unskilled Workers,Unskilled Workers,Female,Yes,No,Yes,No,No,No,0,10,12,10,12.16666666666665,0
20,1.4,3.51,Single,Change in institution/course,Design and Multimedia,Daytime,Secondary education,Other,Basic education or less,Higher education,Other,Other,Male,Yes,No,Yes,No,No,No,2,12,16,10,13.15208333333332,0
19,0.5,1.79,Single,3rd phase,Social Service,Evening,Secondary education,Cape Verdean,Specialized course,Secondary Education,Unskilled Workers,"Personal Services, Security and Safety Workers, and Sellers",Female,Yes,No,Yes,No,No,No,0,12,14,12,13.642857142857157,0
34,-0.3,0.79,Single,1st phase,Management,Evening,Secondary education,Portuguese,Higher education,Basic education or less,Intermediate Level Technicians and Professions,Unskilled Workers,Male,No,No,Yes,No,No,No,0,10,15,10,13.01714285714284,0
37,1.4,3.51,Single,Over 23 years old,Other,Daytime,Secondary education,Santomean,Specialized course,Basic education or less,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",Male,No,No,No,Yes,No,No,0,14,14,1,5.0,1
43,2.6,0.32,Single,Over 23 years old,Informatics Engineering,Daytime,Other,Santomean,Some High School,Basic education or less,Other,Other,Male,Yes,No,Yes,No,No,No,0,10,0,0,0.0,1
55,0.3,-0.92,Single,Change in institution/course,Management,Daytime,Secondary education,Brazilian,Specialized course,Basic education or less,Other,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",Female,No,No,Yes,No,No,No,0,10,18,3,10.88888888888889,1
39,2.6,0.32,Other,Over 23 years old,Management,Evening,Secondary education,Santomean,Specialized course,Basic education or less,Unskilled Workers,Intermediate Level Technicians and Professions,Female,Yes,No,Yes,No,No,No,0,10,13,10,11.23076923076923,0
20,0.5,1.79,Single,Specialized diploma,Equiniculture,Daytime,Specialized course,Romanian,Higher education,Higher education,Intermediate Level Technicians and Professions,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",Female,No,No,No,Yes,No,Yes,3,12,24,6,11.819444444444462,1
18,3.7,-1.7,Single,1st phase,Journalism and Communication,Daytime,Secondary education,Portuguese,Higher education,Higher education,Specialists in Intellectual and Scientific Activities,Other,Female,No,No,Yes,Yes,No,No,0,11,11,4,6.954545454545454,1
22,1.4,3.51,Single,1st phase,Management,Daytime,Secondary education,Portuguese,Higher education,Basic education or less,Specialists in Intellectual and Scientific Activities,"Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,Yes,No,No,No,0,10,10,10,15.3,0
22,0.6,2.02,Single,1st phase,Nursing,Daytime,Secondary education,Portuguese,Secondary Education,Higher education,Specialists in Intellectual and Scientific Activities,Other,Female,Yes,Yes,Yes,No,No,No,0,15,18,12,14.135428571428552,0
20,0.5,1.79,Single,2nd phase,Journalism and Communication,Daytime,Secondary education,Angolan,Secondary Education,Basic education or less,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",Female,No,No,No,No,No,No,0,12,14,9,13.400000000000002,1
29,0.3,-0.92,Single,Over 23 years old,Management,Evening,Secondary education,Santomean,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,No,No,Yes,No,No,No,0,10,0,0,0.0,1
18,0.6,2.02,Single,2nd phase,Social Service,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,Yes,No,Yes,No,No,No,0,12,14,11,12.542857142857157,0
22,0.6,2.02,Single,2nd phase,Nursing,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,Yes,No,Yes,No,0,15,17,13,13.65154061624653,0
21,0.5,1.79,Single,Specialized diploma,Social Service,Evening,Specialized course,Romanian,Secondary Education,Basic education or less,Unskilled Workers,Unskilled Workers,Female,No,No,Yes,No,Yes,No,5,12,13,12,12.46153846153847,0
19,3.7,-1.7,Single,1st phase,Social Service,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,No,No,Yes,No,Yes,No,0,12,14,11,12.5833333333333,0
24,0.5,1.79,Single,Over 23 years old,Tourism,Daytime,Secondary education,Santomean,Specialized course,Basic education or less,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",Female,No,No,Yes,No,Yes,No,0,12,12,12,13.9166666666667,0
19,2.6,0.32,Single,1st phase,Equiniculture,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Other,Other,Female,No,No,Yes,No,No,No,0,10,12,10,15.166666666666657,0
27,-0.8,-3.12,Single,Over 23 years old,Management,Evening,Secondary education,Santomean,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,No,No,Yes,No,No,No,0,10,22,10,10.781818181818181,1
18,2.8,-4.06,Single,1st phase,Nursing,Daytime,Secondary education,Portuguese,Secondary Education,Basic education or less,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",Female,Yes,No,Yes,No,No,No,0,15,19,15,13.33421052631577,0
39,0.5,1.79,Married,Holders of other higher courses,Tourism,Daytime,Higher education,Italian,Secondary Education,Higher education,Administrative staff,Intermediate Level Technicians and Professions,Female,No,No,Yes,No,No,No,0,12,16,0,0.0,1
27,0.5,1.79,Single,Over 23 years old,Equiniculture,Daytime,Higher education,Santomean,Higher education,Higher education,Specialists in Intellectual and Scientific Activities,Other,Female,Yes,No,Yes,No,No,No,5,17,22,15,12.940909090909093,1
18,-0.8,-3.12,Single,2nd phase,Nursing,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,"Skilled Workers in Industry, Construction, and Craftsmen",Armed Forces Professions,Female,Yes,No,Yes,No,No,No,0,16,16,16,14.935,0
18,0.3,-0.92,Single,1st phase,Nursing,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,No,No,Yes,No,No,No,0,15,20,13,12.58619047619048,0
21,-0.3,0.79,Single,Specialized diploma,Social Service,Daytime,Specialized course,Romanian,Specialized course,Secondary Education,Unskilled Workers,Unskilled Workers,Female,No,No,Yes,No,Yes,No,5,12,14,12,12.0,0
29,-0.3,0.79,Other,Change in institution/course,Nursing,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equivalent,Other,Secondary Education,Secondary Education,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",Male,Yes,No,Yes,No,No,No,3,15,20,10,11.45,1
23,1.4,3.51,Single,Specialized diploma,Agronomy,Daytime,Specialized course,Romanian,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Male,Yes,No,Yes,No,No,No,0,12,15,12,12.504761904761908,0
19,0.3,-0.92,Single,1st phase,Management,Daytime,Secondary education,Portuguese,Secondary Education,Basic education or less,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",Male,No,No,Yes,Yes,No,No,0,10,18,9,10.95,1
24,-0.3,0.79,Single,2nd phase,Nursing,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,Other,Administrative staff,Male,No,No,Yes,No,No,No,0,15,16,15,12.8625,0
18,0.5,1.79,Single,2nd phase,Tourism,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,"Personal Services, Security and Safety Workers, and Sellers","Skilled Workers in Industry, Construction, and Craftsmen",Male,Yes,No,Yes,No,No,No,0,12,24,4,11.83333333333335,1
18,1.4,1.74,Single,1st phase,Journalism and Communication,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Male,Yes,No,Yes,No,No,No,0,12,19,9,12.3333333333333,0
18,1.4,1.74,Single,2nd phase,Management,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen",Male,Yes,No,Yes,Yes,No,No,0,10,19,6,10.636591478696753,1
21,-0.8,-3.12,Single,3rd phase,Tourism,Daytime,Secondary education,Cape Verdean,Specialized course,Basic education or less,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",Male,Yes,No,Yes,No,Yes,No,0,12,19,5,10.789473684210526,1
19,1.4,3.51,Single,2nd phase,Journalism and Communication,Daytime,Secondary education,Angolan,Secondary Education,Basic education or less,Unskilled Workers,Installation and Machine Operators and Assembly Workers,Male,Yes,No,Yes,Yes,Yes,No,0,12,12,12,13.5,0
22,0.3,-0.92,Single,2nd phase,Nursing,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Male,No,No,Yes,No,Yes,No,0,15,16,15,14.962500000000006,0
33,1.4,1.74,Married,Over 23 years old,Social Service,Evening,Secondary education,Santomean,Specialized course,Basic education or less,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",Male,No,No,Yes,No,No,No,0,12,14,12,11.857142857142872,0
20,1.4,1.74,Single,1st phase,Other,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Male,Yes,No,Yes,No,No,No,0,12,15,10,12.2,1
35,1.4,1.74,Single,Over 23 years old,Management,Evening,Higher education,Santomean,Higher education,Higher education,Specialists in Intellectual and Scientific Activities,Other,Male,Yes,No,Yes,No,No,No,0,6,1,0,0.0,1
24,0.5,1.79,Single,Over 23 years old,Agronomy,Daytime,Higher education,Santomean,Higher education,Higher education,Administrative staff,Other,Male,No,No,Yes,Yes,No,No,13,24,31,16,12.678494623655931,1
33,-0.8,-3.12,Married,Over 23 years old,Social Service,Evening,Secondary education,Santomean,Specialized course,Basic education or less,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",Female,Yes,No,Yes,No,No,No,0,12,18,11,11.0,0
22,1.4,1.74,Single,Change in institution/course,Nursing,Daytime,Secondary education,Other,Specialized course,Basic education or less,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,Yes,No,Yes,No,0,16,16,14,13.08,0
25,-0.8,-3.12,Single,Over 23 years old,Advertising and Marketing Management,Daytime,Secondary education,Santomean,Secondary Education,Basic education or less,Administrative staff,"Personal Services, Security and Safety Workers, and Sellers",Female,No,No,Yes,No,Yes,No,0,10,14,9,11.049999999999999,0
20,2.6,0.32,Single,2nd phase,Design and Multimedia,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,Administrative staff,Other,Male,Yes,No,Yes,No,No,No,0,12,15,11,10.880000000000019,0
24,-0.3,0.79,Single,Over 23 years old,Nursing,Daytime,Secondary education,Santomean,Secondary Education,Secondary Education,Administrative staff,Armed Forces Professions,Male,No,No,Yes,No,No,No,0,14,25,0,0.0,1
21,1.4,3.51,Single,2nd phase,Journalism and Communication,Daytime,Secondary education,Angolan,Specialized course,Secondary Education,Unskilled Workers,Unskilled Workers,Female,Yes,No,No,No,No,Yes,0,12,12,12,13.75,0
26,1.4,3.51,Single,Other,Equiniculture,Daytime,Secondary education,Other,Secondary Education,Secondary Education,Administrative staff,Administrative staff,Female,No,No,Yes,No,No,Yes,0,12,13,2,6.461538461538462,1
39,2.6,0.32,Married,Over 23 years old,Other,Daytime,Other,Santomean,Specialized course,Unknown,Other,Other,Female,No,No,Yes,No,No,No,0,12,26,3,5.846153846153862,1
44,3.7,-1.7,Married,Over 23 years old,Social Service,Evening,Secondary education,Santomean,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,No,No,Yes,No,No,No,2,14,18,14,12.053240740740726,0
18,1.4,3.51,Single,1st phase,Journalism and Communication,Daytime,Secondary education,Portuguese,Specialized course,Secondary Education,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",Female,Yes,No,Yes,No,No,No,0,12,12,12,13.5,0
18,0.5,1.79,Single,1st phase,Nursing,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,Yes,No,Yes,No,0,15,16,15,14.159375000000011,0
19,-0.3,0.79,Single,1st phase,Nursing,Daytime,Secondary education,Portuguese,Higher education,Higher education,Specialists in Intellectual and Scientific Activities,Other,Female,Yes,No,No,Yes,No,No,0,14,17,4,7.03529411764706,1
21,1.4,3.51,Single,Specialized diploma,Veterinary Nursing,Daytime,Specialized course,Other,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,No,No,Yes,No,No,No,11,19,26,13,13.157692307692308,1
36,-0.8,-3.12,Married,Over 23 years old,Social Service,Evening,Secondary education,Santomean,Specialized course,Basic education or less,Other,"Personal Services, Security and Safety Workers, and Sellers",Female,Yes,No,Yes,No,No,No,0,12,0,0,0.0,1
43,2.8,-4.06,Other,Over 23 years old,Agronomy,Daytime,Other,Santomean,Specialized course,Basic education or less,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",Female,No,No,Yes,No,No,No,23,31,33,31,14.461538461538435,0
19,0.6,2.02,Single,3rd phase,Other,Daytime,Secondary education,Cape Verdean,Specialized course,Basic education or less,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,Yes,No,No,No,0,12,0,0,0.0,1
20,0.6,2.02,Single,Change in institution/course,Design and Multimedia,Daytime,Secondary education,Other,Higher education,Secondary Education,Specialists in Intellectual and Scientific Activities,Installation and Machine Operators and Assembly Workers,Female,No,No,Yes,Yes,No,No,9,21,23,21,12.652173913043493,0
19,0.3,-0.92,Single,1st phase,Social Service,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,Yes,No,No,No,0,12,0,0,0.0,1
20,2.8,-4.06,Single,1st phase,Veterinary Nursing,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Administrative staff,Administrative staff,Female,Yes,No,Yes,No,No,No,0,12,32,8,13.6953125,1
20,0.5,1.79,Single,1st phase,Nursing,Daytime,Secondary education,Portuguese,Higher education,Higher education,Administrative staff,Intermediate Level Technicians and Professions,Female,Yes,No,Yes,No,No,No,2,14,19,11,12.75789473684212,1
18,-0.3,0.79,Single,1st phase,Social Service,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Other,"Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,Yes,No,No,No,0,12,14,12,14.346938775510228,0
19,1.4,1.74,Single,1st phase,Veterinary Nursing,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,Yes,No,Yes,No,No,No,0,10,11,10,13.127272727272727,0
18,1.4,1.74,Single,1st phase,Journalism and Communication,Daytime,Secondary education,Portuguese,Secondary Education,Basic education or less,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,Yes,No,No,No,0,12,13,12,12.615384615384645,0
18,2.6,0.32,Single,2nd phase,Nursing,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,Yes,No,Yes,No,No,No,0,14,14,12,12.5166666666667,1
18,-0.8,-3.12,Single,1st phase,Veterinary Nursing,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",Female,No,No,Yes,No,No,No,0,10,18,10,12.561904761904735,0
18,0.6,2.02,Single,1st phase,Management,Daytime,Secondary education,Portuguese,Higher education,Basic education or less,Administrative staff,"Personal Services, Security and Safety Workers, and Sellers",Female,No,No,Yes,No,No,No,0,10,10,10,13.3,0
21,-0.8,-3.12,Single,2nd phase,Tourism,Daytime,Secondary education,Angolan,Secondary Education,Secondary Education,Administrative staff,"Personal Services, Security and Safety Workers, and Sellers",Female,Yes,No,Yes,No,No,No,0,12,24,5,11.0,1
19,0.3,-0.92,Single,1st phase,Management,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,Yes,No,No,No,0,10,17,9,11.038235294117648,0
19,-0.8,-3.12,Single,1st phase,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,No,No,Yes,No,Yes,No,0,10,10,10,13.5,0
19,2.8,-4.06,Single,1st phase,Veterinary Nursing,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Administrative staff,"Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,Yes,No,No,No,0,12,28,12,13.253571428571446,0
19,-0.3,0.79,Single,2nd phase,Oral Hygiene,Daytime,Secondary education,Angolan,Secondary Education,Secondary Education,Administrative staff,"Personal Services, Security and Safety Workers, and Sellers",Female,Yes,No,Yes,No,No,No,0,14,12,5,12.1,1
20,0.5,1.79,Single,Specialized diploma,Veterinary Nursing,Daytime,Specialized course,Romanian,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,Yes,No,Yes,No,No,No,2,12,24,11,13.891203703703729,0
18,0.5,1.79,Single,2nd phase,Social Service,Daytime,Secondary education,Angolan,Secondary Education,Specialized course,"Personal Services, Security and Safety Workers, and Sellers",Intermediate Level Technicians and Professions,Female,Yes,No,Yes,No,No,No,0,12,13,12,13.307692307692323,0
19,0.5,1.79,Single,2nd phase,Nursing,Daytime,Secondary education,Angolan,Secondary Education,Basic education or less,Other,Unskilled Workers,Female,Yes,No,Yes,No,No,No,0,15,16,15,14.335625000000013,0
18,-0.3,0.79,Single,1st phase,Nursing,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,"Personal Services, Security and Safety Workers, and Sellers",Installation and Machine Operators and Assembly Workers,Female,Yes,No,Yes,No,Yes,No,0,15,18,14,13.490178571428551,1
18,2.6,0.32,Single,2nd phase,Design and Multimedia,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,Yes,No,Yes,No,No,No,0,12,12,12,12.66666666666665,0
19,1.4,3.51,Single,1st phase,Management,Daytime,Secondary education,Portuguese,Secondary Education,Basic education or less,Administrative staff,Installation and Machine Operators and Assembly Workers,Female,Yes,No,Yes,No,No,No,0,10,12,10,13.316666666666668,0
19,-0.3,0.79,Single,2nd phase,Nursing,Daytime,Secondary education,Angolan,Secondary Education,Basic education or less,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,Female,Yes,No,Yes,No,No,No,0,14,15,5,7.466666666666667,1
20,2.6,0.32,Single,Change in institution/course,Social Service,Daytime,Secondary education,Brazilian,Specialized course,Basic education or less,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",Female,No,No,Yes,No,No,No,7,16,23,16,11.683229813664614,0
19,0.5,1.79,Single,1st phase,Advertising and Marketing Management,Daytime,Secondary education,Portuguese,Secondary Education,Basic education or less,Intermediate Level Technicians and Professions,Unskilled Workers,Female,No,No,No,Yes,Yes,No,0,12,16,9,12.28125,1
20,2.6,0.32,Single,2nd phase,Advertising and Marketing Management,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,"Personal Services, Security and Safety Workers, and Sellers","Personal Services, Security and Safety Workers, and Sellers",Female,Yes,No,Yes,No,No,No,0,10,12,8,11.908333333333331,0
18,1.4,3.51,Single,1st phase,Journalism and Communication,Daytime,Secondary education,Portuguese,Secondary Education,Secondary Education,Other,Other,Female,No,No,Yes,Yes,Yes,No,0,12,12,12,14.8333333333333,0
18,-0.3,0.79,Single,3rd phase,Nursing,Daytime,Secondary education,Cape Verdean,Specialized course,Secondary Education,Administrative staff,Installation and Machine Operators and Assembly Workers,Female,No,No,Yes,No,No,No,0,15,16,15,17.35625,0
19,2.6,0.32,Single,1st phase,Nursing,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Unskilled Workers,Unskilled Workers,Female,Yes,No,Yes,No,No,No,0,14,14,12,12.6666666666667,0
19,0.5,1.79,Single,1st phase,Journalism and Communication,Daytime,Secondary education,Portuguese,Specialized course,Secondary Education,Administrative staff,Administrative staff,Female,Yes,No,Yes,No,Yes,No,0,12,18,11,12.296296296296312,0
19,0.5,1.79,Single,1st phase,Social Service,Daytime,Secondary education,Portuguese,Secondary Education,Some High School,Unskilled Workers,Armed Forces Professions,Female,Yes,No,Yes,No,Yes,No,0,12,13,12,11.410256410256391,0
19,2.8,-4.06,Single,1st phase,Nursing,Daytime,Secondary education,Portuguese,Specialized course,Basic education or less,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",Female,Yes,No,Yes,No,Yes,No,0,15,21,15,12.93779761904762,0
19,-0.8,-3.12,Single,2nd phase,Other,Daytime,Secondary education,Angolan,Specialized course,Basic education or less,"Personal Services, Security and Safety Workers, and Sellers","Farmers and Skilled Workers in Agriculture, Fisheries, and Forestry",Female,Yes,No,Yes,No,Yes,No,0,12,19,10,11.43157894736842,0
19,2.6,0.32,Single,1st phase,Tourism,Daytime,Secondary education,Portuguese,Some High School,Basic education or less,Unskilled Workers,Unskilled Workers,Female,Yes,No,Yes,No,No,No,0,10,20,0,0.0,1
20,2.6,0.32,Single,2nd phase,Tourism,Daytime,Secondary education,Angolan,Secondary Education,Basic education or less,Unskilled Workers,Armed Forces Professions,Female,Yes,No,Yes,No,No,No,0,12,20,8,11.48000000000002,1
18,-0.3,0.79,Single,1st phase,Management,Daytime,Secondary education,Portuguese,Higher education,Basic education or less,Specialists in Intellectual and Scientific Activities,Armed Forces Professions,Female,No,No,Yes,No,No,No,0,10,19,10,13.750000000000014,0
20,0.6,2.02,Single,1st phase,Nursing,Daytime,Secondary education,Portuguese,Secondary Education,Basic education or less,Unskilled Workers,Unskilled Workers,Female,No,No,Yes,No,Yes,No,0,15,17,13,14.030224089635825,0
